analysis_cohort,source_family,env_reward,mechanism,mechanism_param_name,mechanism_param_value,config_key,group_stem,learning_rate,gamma,expected_seed_count,raw_file_count,summary_file_count,raw_seed_count,summary_seed_count,include_in_analysis,exclusion_reason
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.0005_g0.95_a0.01,lr0.0005_g0.95_a0.01,0.0005,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.0005_g0.95_a0.05,lr0.0005_g0.95_a0.05,0.0005,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.0005_g0.99_a0.01,lr0.0005_g0.99_a0.01,0.0005,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.0005_g0.99_a0.05,lr0.0005_g0.99_a0.05,0.0005,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.01,lr0.001_g0.95_a0.01,0.001,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.95_a0.05,lr0.001_g0.95_a0.05,0.001,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.01,lr0.001_g0.99_a0.01,0.001,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.001_g0.99_a0.05,lr0.001_g0.99_a0.05,0.001,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,lr0.01_g0.95_a0.01,0.01,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,lr0.01_g0.95_a0.05,0.01,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,lr0.01_g0.99_a0.01,0.01,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,lr0.01_g0.99_a0.05,0.01,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.1_g0.99_a0.01,lr0.1_g0.99_a0.01,0.1,0.99,10,2,2,2,2,False,incomplete_seed_coverage raw_files=2 summary_files=2 raw_seeds=2 summary_seeds=2
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,lr0.0005_g0.95_a0.01,0.0005,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,lr0.0005_g0.95_a0.05,0.0005,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,lr0.0005_g0.99_a0.01,0.0005,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,lr0.0005_g0.99_a0.05,0.0005,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,lr0.001_g0.95_a0.01,0.001,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.05,lr0.001_g0.95_a0.05,0.001,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.99_a0.01,lr0.001_g0.99_a0.01,0.001,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.001_g0.99_a0.05,lr0.001_g0.99_a0.05,0.001,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.01_g0.95_a0.01,lr0.01_g0.95_a0.01,0.01,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.01_g0.95_a0.05,lr0.01_g0.95_a0.05,0.01,0.95,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.01_g0.99_a0.01,lr0.01_g0.99_a0.01,0.01,0.99,10,10,10,10,10,True,
cartpole,dqn_entropy,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.01_g0.99_a0.05,lr0.01_g0.99_a0.05,0.01,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,0.1,dqn_rnd/cartpole_dense/lr0.0005_g0.95_b0.1,lr0.0005_g0.95_b0.1,0.0005,0.95,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,1.0,dqn_rnd/cartpole_dense/lr0.0005_g0.95_b1.0,lr0.0005_g0.95_b1.0,0.0005,0.95,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,0.1,dqn_rnd/cartpole_dense/lr0.0005_g0.99_b0.1,lr0.0005_g0.99_b0.1,0.0005,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,1.0,dqn_rnd/cartpole_dense/lr0.0005_g0.99_b1.0,lr0.0005_g0.99_b1.0,0.0005,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,0.1,dqn_rnd/cartpole_dense/lr0.001_g0.95_b0.1,lr0.001_g0.95_b0.1,0.001,0.95,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,1.0,dqn_rnd/cartpole_dense/lr0.001_g0.95_b1.0,lr0.001_g0.95_b1.0,0.001,0.95,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,0.1,dqn_rnd/cartpole_dense/lr0.001_g0.99_b0.1,lr0.001_g0.99_b0.1,0.001,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,1.0,dqn_rnd/cartpole_dense/lr0.001_g0.99_b1.0,lr0.001_g0.99_b1.0,0.001,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,0.1,dqn_rnd/cartpole_dense/lr0.01_g0.95_b0.1,lr0.01_g0.95_b0.1,0.01,0.95,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,1.0,dqn_rnd/cartpole_dense/lr0.01_g0.95_b1.0,lr0.01_g0.95_b1.0,0.01,0.95,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,0.1,dqn_rnd/cartpole_dense/lr0.01_g0.99_b0.1,lr0.01_g0.99_b0.1,0.01,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_dense,rnd,beta,1.0,dqn_rnd/cartpole_dense/lr0.01_g0.99_b1.0,lr0.01_g0.99_b1.0,0.01,0.99,10,10,10,10,10,True,
cartpole,dqn_rnd,cartpole_sparse,rnd,beta,0.1,dqn_rnd/cartpole_sparse/lr0.0005_g0.95_b0.1,lr0.0005_g0.95_b0.1,0.0005,0.95,10,10,10,10,10,True,
