seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,beta
0,DQN_RND,0.0005,0.95,9.359999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.359999656677246,339.430055627,cartpole,dense,cartpole_dense,0.1
1,DQN_RND,0.0005,0.95,9.329999923706056,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.329999923706056,337.3417154959998,cartpole,dense,cartpole_dense,0.1
2,DQN_RND,0.0005,0.95,12.6899995803833,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,12.6899995803833,347.88962164199984,cartpole,dense,cartpole_dense,0.1
3,DQN_RND,0.0005,0.95,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,346.003623607,cartpole,dense,cartpole_dense,0.1
4,DQN_RND,0.0005,0.95,9.34999942779541,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.34999942779541,359.5287620700001,cartpole,dense,cartpole_dense,0.1
5,DQN_RND,0.0005,0.95,9.380000114440918,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.380000114440918,357.5225005049997,cartpole,dense,cartpole_dense,0.1
6,DQN_RND,0.0005,0.95,9.420000076293944,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.420000076293944,355.6290824430007,cartpole,dense,cartpole_dense,0.1
7,DQN_RND,0.0005,0.95,9.449999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.449999809265137,355.6490064489999,cartpole,dense,cartpole_dense,0.1
8,DQN_RND,0.0005,0.95,44.31999969482422,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,44.31999969482422,349.35380926500056,cartpole,dense,cartpole_dense,0.1
9,DQN_RND,0.0005,0.95,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,348.7371439129993,cartpole,dense,cartpole_dense,0.1
0,DQN_RND,0.0005,0.95,9.359999656677246,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.359999656677246,345.044262546,cartpole,dense,cartpole_dense,1.0
1,DQN_RND,0.0005,0.95,9.329999923706056,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.329999923706056,343.49718365100125,cartpole,dense,cartpole_dense,1.0
2,DQN_RND,0.0005,0.95,11.460000038146973,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,11.460000038146973,355.79844327400133,cartpole,dense,cartpole_dense,1.0
3,DQN_RND,0.0005,0.95,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,353.7658133550012,cartpole,dense,cartpole_dense,1.0
4,DQN_RND,0.0005,0.95,9.34999942779541,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.34999942779541,354.2658858880004,cartpole,dense,cartpole_dense,1.0
5,DQN_RND,0.0005,0.95,9.380000114440918,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.380000114440918,352.0561097490008,cartpole,dense,cartpole_dense,1.0
6,DQN_RND,0.0005,0.95,9.420000076293944,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.420000076293944,359.8329454679988,cartpole,dense,cartpole_dense,1.0
7,DQN_RND,0.0005,0.95,9.449999809265137,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.449999809265137,359.83743828499973,cartpole,dense,cartpole_dense,1.0
