seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
1,1,19.0,19,3.024529069662094,1.0,0.0040249088779091835,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,2,34.0,34,9.927644848823547,-1.0,0.0015698476927354932,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,3,16.0,16,1.9576363563537598,-1.0,0.003823215374723077,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,4,22.0,22,3.7110289434591928,-1.0,0.007419915404170752,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,5,18.0,18,2.5369651714960733,-1.0,0.0013935905881226063,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,6,10.0,10,0.647475050141414,-1.0,0.008661262691020966,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,7,17.0,17,2.1641085793574653,-1.0,0.010466333478689194,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,8,15.0,15,1.6161403755346935,-1.0,0.003777259262278676,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,9,30.0,30,7.323691169420878,-1.0,0.002240711823105812,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,10,20.0,20,3.1018397410710654,-1.0,0.008983275853097439,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,11,46.0,46,16.16699230670929,-1.0,0.0025194543413817883,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,12,22.0,22,3.787698745727539,-1.0,0.00755760632455349,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,13,11.0,11,0.88722974807024,-1.0,0.010926173999905586,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,14,46.0,46,15.978439569473267,-1.0,0.006167998071759939,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,15,13.0,13,1.3213136047124863,-1.0,0.005230947397649288,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,16,21.0,21,3.4217647910118103,-1.0,0.004861610010266304,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,17,17.0,17,2.275795648495356,-1.0,0.0008960647392086685,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,18,19.0,19,2.894746055205663,-1.0,0.018049273639917374,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,19,11.0,11,0.762712466220061,-1.0,0.00687825120985508,0.0,ppo_rnd,0.005,0.99,cartpole,dense
1,20,12.0,12,0.9447155942519506,-1.0,0.005455935839563608,0.0,ppo_rnd,0.005,0.99,cartpole,dense
