seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
1,1,1.0,19,0.0146993319503963,1.0,0.0040249088779091835,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,2,1.0,34,0.0073560856593151884,-1.0,0.0015698476927354932,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,3,1.0,16,0.015340236170838276,-1.0,0.003823215374723077,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,4,1.0,22,0.03709622612223029,-1.0,0.007419915404170752,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,5,1.0,18,0.02527895538757245,-1.0,0.0013935905881226063,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,6,1.0,10,0.012147371346751848,-1.0,0.008661262691020966,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,7,1.0,17,0.016994735536475975,-1.0,0.010466333478689194,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,8,1.0,15,0.01857947480554382,-1.0,0.003777259262278676,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,9,1.0,30,0.01603846267486612,-1.0,0.002240711823105812,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,10,1.0,20,0.014060698915272951,-1.0,0.008983275853097439,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,11,1.0,46,0.02887445882273217,-1.0,0.0025194543413817883,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,12,1.0,22,0.029750848654657602,-1.0,0.00755760632455349,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,13,1.0,11,0.02155156262839834,-1.0,0.010926173999905586,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,14,1.0,46,0.017631876282393932,-1.0,0.006167998071759939,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,15,1.0,13,0.01654780733709534,-1.0,0.005230947397649288,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,16,1.0,21,0.019708266326536734,-1.0,0.004861610010266304,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,17,1.0,17,0.01476434882109364,-1.0,0.0008960647392086685,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,18,1.0,19,0.009520554604629675,-1.0,0.018049273639917374,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,19,1.0,11,0.026567372493445873,-1.0,0.00687825120985508,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,20,1.0,12,0.00939804424221317,-1.0,0.005455935839563608,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,21,1.0,19,0.013405032766362032,-1.0,0.01000442449003458,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,22,1.0,14,0.006177970673888922,-1.0,0.003020841395482421,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,23,1.0,21,0.017973423469811678,-1.0,0.0011684853816404939,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,24,1.0,12,0.005269868765026331,-1.0,0.0058396742679178715,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,25,1.0,29,0.02017938702677687,-1.0,0.001012322143651545,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,26,1.0,33,0.015619012682388226,-1.0,0.011505510658025742,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,27,1.0,13,0.010680397662023703,-1.0,0.0054821050725877285,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,28,1.0,13,0.021239595487713814,-1.0,0.003801145823672414,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,29,1.0,14,0.03258108844359716,-1.0,0.007045242469757795,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
1,30,1.0,52,0.02183596882969141,-1.0,0.001628079335205257,0.0,ppo_rnd,0.005,0.99,cartpole,sparse
