episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,14.0,14,1.0,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
2,28.0,28,0.9968333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
3,17.0,17,0.9936666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
4,26.0,26,0.9905,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
5,19.0,19,0.9873333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
6,30.0,30,0.9841666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
7,21.0,21,0.981,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
8,46.0,46,0.9778333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
9,14.0,14,0.9746666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
10,12.0,12,0.9715,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
11,18.0,18,0.9683333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
12,31.0,31,0.9651666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
13,30.0,30,0.962,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
14,33.0,33,0.9588333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
15,31.0,31,0.9556666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
16,12.0,12,0.9525,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
17,45.0,45,0.9493333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
18,9.0,9,0.9461666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
19,17.0,17,0.9430000000000001,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
20,22.0,22,0.9398333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
21,11.0,11,0.9366666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,6,
