episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,0.0,15,1.0,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
2,0.0,9,0.9968333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
3,0.0,38,0.9936666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
4,0.0,45,0.9905,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
5,0.0,18,0.9873333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
6,0.0,18,0.9841666666666666,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
7,0.0,28,0.981,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
8,0.0,21,0.9778333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
9,0.0,21,0.9746666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
10,0.0,16,0.9715,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
11,0.0,55,0.9683333333333334,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
12,0.0,32,0.9651666666666666,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
13,0.0,14,0.962,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
14,0.0,19,0.9588333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
15,0.0,21,0.9556666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
16,0.0,21,0.9525,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
17,0.0,17,0.9493333333333334,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
18,0.0,13,0.9461666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
19,0.0,18,0.9430000000000001,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
20,0.0,12,0.9398333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
21,0.0,12,0.9366666666666666,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
22,0.0,15,0.9335,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
23,0.0,20,0.9303333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
24,0.0,18,0.9271666666666667,0.007292988710105419,-0.1182585284113884,0.11613310873508453,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
25,0.0,23,0.924,0.0016099511412903666,-0.026744194328784943,0.041394054889678955,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
26,0.0,34,0.9208333333333334,0.004638311918824911,-0.0458097979426384,0.0516531839966774,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
27,0.0,22,0.9176666666666666,0.00072438083589077,-0.011824238114058971,0.026359453797340393,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
28,0.0,36,0.9145,0.0005107993492856622,-0.016532279551029205,0.022525424137711525,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
29,0.0,29,0.9113333333333333,0.0005586569895967841,0.0005019675008952618,0.0160670168697834,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
30,0.0,36,0.9081666666666667,0.0002949531190097332,-0.019342921674251556,0.017888912931084633,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
31,0.0,21,0.905,0.0001848258834797889,-0.0014597547706216574,0.014814060181379318,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
32,0.0,15,0.9018333333333334,9.505198249826208e-05,0.001322214724496007,0.011603513732552528,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
33,0.0,41,0.8986666666666667,8.75484838616103e-05,-0.012661023065447807,0.010761342942714691,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
34,0.0,12,0.8955,0.0001001419877866283,0.0026746555231511593,0.010983561165630817,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
35,0.0,14,0.8923333333333333,5.650566890835762e-05,-0.01043147873133421,0.009281153790652752,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
36,0.0,15,0.8891666666666667,0.00010509064304642379,0.01219587679952383,0.01182046439498663,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
37,0.0,17,0.886,0.00010230241605313495,-0.014395101927220821,0.010775486938655376,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
38,0.0,31,0.8828333333333334,2.1293355530360714e-05,-0.0009420952992513776,0.004439853131771088,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
39,0.0,12,0.8796666666666667,4.2566025513224304e-05,-0.005945809185504913,0.0050893137231469154,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
40,0.0,16,0.8765000000000001,1.929151767399162e-05,0.0002891173353418708,0.004670258611440659,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
41,0.0,10,0.8733333333333333,7.042555807856843e-05,-0.00552630890160799,0.00632057199254632,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
42,0.0,17,0.8701666666666666,2.7462847356218845e-05,-0.002933668904006481,0.005870110355317593,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
43,0.0,12,0.867,7.210008334368467e-05,-0.009578067809343338,0.007139542140066624,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
44,0.0,13,0.8638333333333333,4.072689625900239e-05,-0.0007167831063270569,0.0059617385268211365,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
45,0.0,18,0.8606666666666667,3.557929812814109e-05,-0.007933201268315315,0.00552393589168787,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
46,0.0,20,0.8575,3.4349057386862114e-05,-0.005806872621178627,0.0050049033015966415,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
47,0.0,20,0.8543333333333334,1.5232453733915463e-05,-0.005653025582432747,0.004847125615924597,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
48,0.0,15,0.8511666666666666,2.1734420442953706e-05,0.0009178261971101165,0.004949685651808977,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
49,0.0,11,0.848,1.561556382512208e-05,-0.0018534063128754497,0.004298430867493153,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
50,0.0,13,0.8448333333333333,1.8662987713469192e-05,-0.00671067088842392,0.004572592210024595,,,0.0,0.0,9.3,dqn,cartpole,sparse,0.1,0.9,5,
51,0.0,63,0.8416666666666667,1.3734123967878986e-05,-0.003026281949132681,0.003950882237404585,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
52,0.0,33,0.8385,2.021032923948951e-05,-0.0008406593697145581,0.004688412882387638,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
53,0.0,20,0.8353333333333334,3.4494099963922054e-05,-0.002005757996812463,0.005777392536401749,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
54,0.0,14,0.8321666666666667,8.920825166569557e-06,-0.004194148350507021,0.0034438003785908222,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
55,0.0,17,0.829,3.370359627297148e-05,-0.0050962865352630615,0.0050087906420230865,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
56,0.0,43,0.8258333333333334,1.5876743418630213e-05,0.0002623173641040921,0.0041486527770757675,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
57,0.0,25,0.8226666666666667,0.00013379001757130027,-0.005297349765896797,0.006971989292651415,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
58,0.0,36,0.8195,1.2846938261645846e-05,-0.0009964493801817298,0.003828637767583132,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
59,0.0,18,0.8163333333333334,3.683246177388355e-05,-0.004045458976179361,0.0054093943908810616,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
60,0.0,15,0.8131666666666667,1.167933896795148e-05,-0.0016851162072271109,0.0038453605957329273,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
61,0.0,30,0.81,1.974843326024711e-05,-0.005054952576756477,0.004590299911797047,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
62,0.0,20,0.8068333333333333,2.9751183319604024e-05,-0.007515420205891132,0.005645925644785166,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
63,0.0,16,0.8036666666666666,2.6670488296076655e-05,-0.0002046074951067567,0.0061118025332689285,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
64,0.0,23,0.8005,3.540509715094231e-05,-0.006916847079992294,0.005539789795875549,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
65,0.0,14,0.7973333333333333,3.696058411151171e-05,0.0003111995756626129,0.004716070834547281,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
66,0.0,20,0.7941666666666667,8.876257197698578e-06,0.002493922132998705,0.002998176496475935,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
67,0.0,15,0.791,4.237096436554566e-05,-0.006567060016095638,0.00631879223510623,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
68,0.0,24,0.7878333333333334,1.8083144823322073e-05,-0.00312129152007401,0.004430695436894894,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
69,0.0,40,0.7846666666666666,1.5483137758565135e-05,-0.002991204150021076,0.004511384293437004,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
70,0.0,26,0.7815,3.842663500108756e-05,0.000407953979447484,0.005530548747628927,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
71,0.0,13,0.7783333333333333,6.667469278909266e-06,-0.00023153098300099373,0.0029228664934635162,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
72,0.0,13,0.7751666666666667,2.6752151825348847e-05,-0.002719481708481908,0.004453139379620552,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
73,0.0,18,0.772,1.684456037764903e-05,-0.0036153746768832207,0.004059719853103161,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
74,0.0,16,0.7688333333333334,2.6877383788814768e-05,-0.010991680435836315,0.005189664661884308,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
75,0.0,14,0.7656666666666667,2.143745223293081e-05,-0.007405581884086132,0.004658566787838936,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
76,0.0,32,0.7625,1.8444210581947118e-05,-0.0046797096729278564,0.004220396745949984,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
77,0.0,17,0.7593333333333333,1.3658612260769587e-05,-0.002895684912800789,0.004079922568053007,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
78,0.0,11,0.7561666666666667,1.7466212739236653e-05,-0.007804554421454668,0.004313130863010883,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
79,0.0,9,0.753,1.1918356904061511e-05,-0.0013124357210472226,0.0031295944936573505,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
80,0.0,11,0.7498333333333334,2.9466624255292118e-05,-0.004947908688336611,0.005080896429717541,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
81,0.0,33,0.7466666666666667,1.1827518392237835e-05,-0.0022509838454425335,0.00383929256349802,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
82,0.0,12,0.7435,1.0604409908410162e-05,-0.0017209778307005763,0.003507690504193306,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
83,0.0,11,0.7403333333333333,3.2948235457297415e-05,-0.0008386303670704365,0.0049917688593268394,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
84,0.0,10,0.7371666666666667,1.99242804228561e-05,0.00331879872828722,0.003977285698056221,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
85,0.0,14,0.734,1.1720188922481611e-05,0.002276407554745674,0.0035587972961366177,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
86,0.0,15,0.7308333333333333,2.3446777049684897e-05,-0.0019296928076073527,0.004208339378237724,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
87,0.0,10,0.7276666666666667,1.4664111404272262e-05,-0.00025838788133114576,0.0037188511341810226,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
88,0.0,8,0.7245,1.764004264259711e-05,-0.006305473390966654,0.004016616847366095,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
89,0.0,16,0.7213333333333334,3.026171907549724e-05,-0.004294193349778652,0.004342397674918175,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
90,0.0,29,0.7181666666666666,1.9385843188501894e-05,0.005631630774587393,0.0043620578944683075,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
91,0.0,15,0.7150000000000001,3.153680881951004e-05,0.003668270306661725,0.006340823136270046,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
92,0.0,10,0.7118333333333333,6.170834240037948e-05,-0.009954332374036312,0.01034572347998619,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
93,0.0,46,0.7086666666666668,5.345846147974953e-05,0.004300764296203852,0.008282903581857681,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
94,0.0,10,0.7055,2.0596720787580125e-05,-0.0017094786744564772,0.0048802196979522705,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
95,0.0,21,0.7023333333333333,3.813726652879268e-05,0.0026115986984223127,0.00574557576328516,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
96,0.0,12,0.6991666666666667,3.119173925369978e-05,-0.002976893214508891,0.004707929212599993,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
97,0.0,10,0.696,1.1836480553029105e-05,0.0004551232559606433,0.0035904236137866974,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
98,0.0,32,0.6928333333333334,9.98339874058729e-06,-0.00051710638217628,0.003211764618754387,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
99,0.0,10,0.6896666666666667,2.0621981093427166e-05,-0.005426457151770592,0.0055418964475393295,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
100,0.0,20,0.6865,1.3929489796282724e-05,0.0006122221238911152,0.0033981497399508953,,,0.0,0.0,9.3,dqn,cartpole,sparse,0.1,0.9,5,
101,0.0,45,0.6833333333333333,1.1096664820797741e-05,-0.006559659261256456,0.0035801890771836042,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
102,0.0,11,0.6801666666666667,1.4593889318348374e-05,0.0004726209444925189,0.004013636149466038,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
103,0.0,32,0.677,2.4113252948154695e-05,0.0012972659897059202,0.0045785680413246155,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
104,0.0,23,0.6738333333333333,2.1961068341624923e-05,0.001668928423896432,0.0039384616538882256,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
105,0.0,13,0.6706666666666667,3.1018593290355057e-05,-0.006791285704821348,0.005260876379907131,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
106,0.0,19,0.6675,2.3158781914389692e-05,-0.003458672435954213,0.004308060742914677,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
107,0.0,24,0.6643333333333333,2.503681753296405e-05,-0.00104027078486979,0.004198306705802679,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
108,0.0,48,0.6611666666666667,1.2062657333444804e-05,0.0019699102267622948,0.003803569357842207,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
109,0.0,31,0.658,4.895787424175069e-05,-0.00562738673761487,0.008437606506049633,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
110,0.0,10,0.6548333333333334,8.842049282975495e-06,-0.005174240097403526,0.0034789820201694965,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
111,0.0,13,0.6516666666666667,4.990240267943591e-05,0.007474660873413086,0.00809272937476635,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
112,0.0,21,0.6485000000000001,1.1474102393549401e-05,0.0011308389948680997,0.003746471833437681,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
113,0.0,10,0.6453333333333333,7.169711898313835e-05,0.006058984436094761,0.008919970132410526,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
114,0.0,37,0.6421666666666668,3.4867043723352253e-05,-0.008480153977870941,0.007112195715308189,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
115,0.0,14,0.639,2.8351947548799217e-05,-0.0034536696039140224,0.005972013808786869,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
116,0.0,9,0.6358333333333333,4.300554428482428e-05,0.0007648776518180966,0.005959651432931423,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
117,0.0,23,0.6326666666666667,2.6084519049618393e-05,-7.631559856235981e-05,0.0049163466319441795,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
118,0.0,23,0.6295,1.0689705050026532e-05,0.001793665811419487,0.003634991589933634,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
119,0.0,9,0.6263333333333334,1.681448884482961e-05,-0.0007010090630501509,0.004014831501990557,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
120,0.0,13,0.6231666666666666,1.6258316463790834e-05,0.002517573069781065,0.004564105998724699,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
121,0.0,14,0.62,2.9885362891945988e-05,-0.0013444953365251422,0.0062173837795853615,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
122,0.0,32,0.6168333333333333,9.297042197431438e-06,-0.005228887777775526,0.0038051586598157883,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
123,0.0,19,0.6136666666666667,1.1539625120349228e-05,-0.004448250867426395,0.003980983514338732,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
124,0.0,32,0.6105,2.427663275739178e-05,-0.005695107858628035,0.005611243657767773,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
125,0.0,14,0.6073333333333333,2.0318233509897254e-05,-0.004182970616966486,0.0049384706653654575,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
126,0.0,44,0.6041666666666667,1.4388710042112507e-05,0.0014285205397754908,0.004526149015873671,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
127,0.0,16,0.601,6.3527936617902014e-06,-0.0012290601152926683,0.0022572213783860207,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
128,0.0,15,0.5978333333333333,1.357616565655917e-05,-0.00212883111089468,0.003643462434411049,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
129,0.0,10,0.5946666666666667,1.2015381798846647e-05,-0.00010021583875641227,0.0032226312905550003,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
130,0.0,14,0.5915,1.0354853657190688e-05,0.0023659016005694866,0.003332820488139987,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
131,0.0,11,0.5883333333333334,1.6009858882171102e-05,-0.0019178481306880713,0.004136988427489996,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
132,0.0,10,0.5851666666666667,1.1508778698043898e-05,0.00039844977436587214,0.0031587746925652027,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
133,0.0,11,0.5820000000000001,1.2259411960258149e-05,-0.003754238598048687,0.003225201740860939,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
134,0.0,11,0.5788333333333333,5.1394586080277804e-06,0.0007686629542149603,0.0020918543450534344,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
135,0.0,10,0.5756666666666668,1.6354804756701924e-05,0.004874363075941801,0.003872421570122242,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
136,0.0,50,0.5725,5.55515498490422e-06,0.00025497941533103585,0.002217540517449379,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
137,0.0,17,0.5693333333333334,4.81396091345232e-06,0.0008393460302613676,0.0024911025539040565,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
138,0.0,17,0.5661666666666667,6.516091161756776e-06,0.002808334305882454,0.002785135991871357,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
139,0.0,17,0.563,1.2184571460238658e-05,-0.0029717525467276573,0.00368105317465961,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
140,0.0,18,0.5598333333333334,5.864195827598451e-06,0.00252272910438478,0.0021140591707080603,,,,,,dqn,cartpole,sparse,0.1,0.9,5,
