episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,12.0,12,1.0,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
2,19.0,19,0.9968333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
3,27.0,27,0.9936666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
4,23.0,23,0.9905,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
5,14.0,14,0.9873333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
6,26.0,26,0.9841666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
7,43.0,43,0.981,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
8,57.0,57,0.9778333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
9,21.0,21,0.9746666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
10,13.0,13,0.9715,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
11,13.0,13,0.9683333333333334,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
12,15.0,15,0.9651666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
13,15.0,15,0.962,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
14,8.0,8,0.9588333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
15,49.0,49,0.9556666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
16,32.0,32,0.9525,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
17,18.0,18,0.9493333333333334,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
18,16.0,16,0.9461666666666667,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
19,13.0,13,0.9430000000000001,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
20,21.0,21,0.9398333333333333,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
21,27.0,27,0.9366666666666666,nan,nan,nan,nan,nan,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
22,25.0,25,0.9335,0.5040838718414307,2.161378860473633,0.9474873542785645,0.596403181552887,0.19382444024085999,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
23,35.0,35,0.9303333333333333,0.033089376986026764,1.407956838607788,0.22221341729164124,0.5995025038719177,0.22279125452041626,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
24,17.0,17,0.9271666666666667,0.012117289006710052,1.2088227272033691,0.10132601112127304,0.5995025038719177,0.22279125452041626,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
25,11.0,11,0.924,0.022044692188501358,1.2309885025024414,0.15428495407104492,0.5995025038719177,0.22279125452041626,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
26,16.0,16,0.9208333333333334,0.010639160871505737,1.1243407726287842,0.12197514623403549,0.5902457237243652,0.2072950303554535,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
27,12.0,12,0.9176666666666666,0.0030235019512474537,1.2153162956237793,0.06915917247533798,0.5902457237243652,0.2072950303554535,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
28,20.0,20,0.9145,0.002842862159013748,1.2376290559768677,0.056833792477846146,0.5902457237243652,0.2072950303554535,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
29,14.0,14,0.9113333333333333,0.002331314142793417,1.2020971775054932,0.05615689605474472,0.5958220362663269,0.24927768111228943,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
30,29.0,29,0.9081666666666667,0.002324931789189577,1.1755073070526123,0.05656064301729202,0.5874493718147278,0.19641780853271484,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
31,13.0,13,0.905,0.00040593353332951665,1.2394194602966309,0.02313857525587082,0.5874493718147278,0.19641780853271484,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
32,32.0,32,0.9018333333333334,0.0005857415962964296,1.201627492904663,0.026968343183398247,0.5944545865058899,0.2177082598209381,,,,dqn_icm,cartpole,dense,0.1,0.99,9,1.0
