episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,29.0,29,1.0,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
2,15.0,15,0.9968333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
3,16.0,16,0.9936666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
4,10.0,10,0.9905,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
5,20.0,20,0.9873333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
6,31.0,31,0.9841666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
7,18.0,18,0.981,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
8,19.0,19,0.9778333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
9,13.0,13,0.9746666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
10,10.0,10,0.9715,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
11,16.0,16,0.9683333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
12,15.0,15,0.9651666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
13,14.0,14,0.962,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
14,10.0,10,0.9588333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
15,38.0,38,0.9556666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
16,11.0,11,0.9525,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
17,35.0,35,0.9493333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
18,14.0,14,0.9461666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
19,24.0,24,0.9430000000000001,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
20,17.0,17,0.9398333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
21,10.0,10,0.9366666666666666,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
22,12.0,12,0.9335,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
23,17.0,17,0.9303333333333333,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
24,30.0,30,0.9271666666666667,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
25,18.0,18,0.924,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
26,21.0,21,0.9208333333333334,nan,nan,nan,,,,,,dqn,cartpole,dense,0.001,0.99,1,
27,21.0,21,0.9176666666666666,0.5110039710998535,0.0010059743653982878,1.0109440088272095,,,,,,dqn,cartpole,dense,0.001,0.99,1,
