episode,return,length,epsilon,loss,q_mean,td_error_mean,icm_loss,intrinsic_reward_mean,eval_return_mean,eval_return_std,eval_length_mean,agent,env,reward_type,lr,gamma,seed,eta
1,0.0,14,1.0,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
2,0.0,28,0.9968333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
3,0.0,17,0.9936666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
4,0.0,26,0.9905,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
5,0.0,19,0.9873333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
6,0.0,30,0.9841666666666666,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
7,0.0,21,0.981,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
8,0.0,46,0.9778333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
9,0.0,14,0.9746666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
10,0.0,12,0.9715,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
11,0.0,18,0.9683333333333334,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
12,0.0,31,0.9651666666666666,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
13,0.0,30,0.962,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
14,0.0,33,0.9588333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
15,0.0,31,0.9556666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
16,0.0,12,0.9525,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
17,0.0,45,0.9493333333333334,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
18,0.0,9,0.9461666666666667,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
19,0.0,17,0.9430000000000001,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
20,0.0,22,0.9398333333333333,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
21,0.0,11,0.9366666666666666,nan,nan,nan,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
22,0.0,37,0.9335,0.0004458245821297169,0.017984116449952126,0.02024720422923565,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
23,0.0,12,0.9303333333333333,8.475619688397273e-05,0.03524182736873627,0.00973333790898323,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
24,0.0,18,0.9271666666666667,0.00026819820050150156,0.02988392487168312,0.014788273721933365,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
25,0.0,16,0.924,0.0001929355348693207,0.03533174842596054,0.011863108724355698,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
26,0.0,11,0.9208333333333334,0.0004138765507377684,0.036850787699222565,0.013811149634420872,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
27,0.0,18,0.9176666666666666,0.00013535159814637154,0.025392968207597733,0.009496081620454788,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
28,0.0,13,0.9145,0.0001410836703144014,0.03477426618337631,0.010607518255710602,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
29,0.0,54,0.9113333333333333,5.071105624665506e-05,0.027717405930161476,0.007837126962840557,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
30,0.0,23,0.9081666666666667,0.00020517085795290768,0.028094109147787094,0.008604694157838821,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
31,0.0,15,0.905,0.00013751519145444036,0.024003665894269943,0.009169982746243477,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
32,0.0,12,0.9018333333333334,0.00013551274605561048,0.02589605562388897,0.009615201503038406,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
33,0.0,20,0.8986666666666667,5.133537342771888e-05,0.03555798903107643,0.00793516356498003,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
34,0.0,27,0.8955,9.492895333096385e-05,0.025049470365047455,0.009285017848014832,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
35,0.0,14,0.8923333333333333,0.00010666467278497294,0.03300396353006363,0.008846399374306202,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
36,0.0,9,0.8891666666666667,3.908243525074795e-05,0.02884780615568161,0.005868113599717617,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
37,0.0,20,0.886,0.00027924717869609594,0.0293277557939291,0.010982366278767586,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
38,0.0,16,0.8828333333333334,0.0002178506983909756,0.022866416722536087,0.009738115593791008,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
39,0.0,46,0.8796666666666667,7.345216727117077e-05,0.018914323300123215,0.007147510070353746,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
40,0.0,12,0.8765000000000001,0.00013034169387537986,0.025365548208355904,0.008624410256743431,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
41,0.0,19,0.8733333333333333,2.118917109328322e-05,0.03263333812355995,0.004868856631219387,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
42,0.0,11,0.8701666666666666,0.0002481034607626498,0.03377477079629898,0.00897367112338543,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
43,0.0,16,0.867,9.237751510227099e-05,0.025547519326210022,0.006426217034459114,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
44,0.0,17,0.8638333333333333,0.00011114280641777441,0.02567000687122345,0.0077682556584477425,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
45,0.0,13,0.8606666666666667,0.00015961127064656466,0.03165819123387337,0.008689111098647118,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
46,0.0,16,0.8575,0.0002718721516430378,0.03472144156694412,0.010981190949678421,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
47,0.0,12,0.8543333333333334,0.00016965431859716773,0.031238045543432236,0.009771415963768959,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
48,0.0,14,0.8511666666666666,0.00025596190243959427,0.02886335365474224,0.014901258051395416,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
49,0.0,17,0.848,0.00014265996287576854,0.03891260176897049,0.01272510550916195,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
50,0.0,18,0.8448333333333333,6.583920185221359e-05,0.036473289132118225,0.007988594472408295,,,0.0,0.0,9.9,dqn,cartpole,sparse,0.01,0.99,6,
51,0.0,14,0.8416666666666667,5.927158781560138e-05,0.04203828424215317,0.008836152032017708,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
52,0.0,49,0.8385,0.0001498721685493365,0.028668221086263657,0.010422594845294952,,,,,,dqn,cartpole,sparse,0.01,0.99,6,
