seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
9,1,10.0,10,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,2,13.0,13,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,3,19.0,19,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,4,22.0,22,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,5,16.0,16,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,6,44.0,44,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,7,10.0,10,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,8,19.0,19,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,9,20.0,20,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,10,16.0,16,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,11,23.0,23,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,12,20.0,20,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,13,13.0,13,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.95,cartpole,dense
9,14,46.0,46,0.9742111563682556,-1.0,0.0,0.6930907964706421,DQN_Entropy,0.001,0.95,cartpole,dense
9,15,18.0,18,0.9590646028518677,-1.0,0.0,0.6930897831916809,DQN_Entropy,0.001,0.95,cartpole,dense
9,16,12.0,12,0.9486887454986572,-1.0,0.0,0.6930854320526123,DQN_Entropy,0.001,0.95,cartpole,dense
9,17,23.0,23,0.9353822469711304,-1.0,0.0,0.6930822134017944,DQN_Entropy,0.001,0.95,cartpole,dense
9,18,25.0,25,0.9238530993461609,-1.0,0.0,0.6930800676345825,DQN_Entropy,0.001,0.95,cartpole,dense
9,19,18.0,18,0.9074640870094299,-1.0,0.0,0.6930912733078003,DQN_Entropy,0.001,0.95,cartpole,dense
9,20,18.0,18,0.8968691229820251,-1.0,0.0,0.6930871605873108,DQN_Entropy,0.001,0.95,cartpole,dense
9,21,26.0,26,0.8835664987564087,-1.0,0.0,0.6930814385414124,DQN_Entropy,0.001,0.95,cartpole,dense
9,22,19.0,19,0.8726068139076233,-1.0,0.0,0.6930859088897705,DQN_Entropy,0.001,0.95,cartpole,dense
9,23,12.0,12,0.8606413006782532,-1.0,0.0,0.693091094493866,DQN_Entropy,0.001,0.95,cartpole,dense
9,24,11.0,11,0.8491278886795044,-1.0,0.0,0.6930854320526123,DQN_Entropy,0.001,0.95,cartpole,dense
9,25,23.0,23,0.8364561796188354,-1.0,0.0,0.6930887699127197,DQN_Entropy,0.001,0.95,cartpole,dense
9,26,16.0,16,0.8274834156036377,-1.0,0.0,0.6930697560310364,DQN_Entropy,0.001,0.95,cartpole,dense
9,27,34.0,34,0.9597294330596924,-1.0,0.0,0.6930513381958008,DQN_Entropy,0.001,0.95,cartpole,dense
9,28,41.0,41,0.951219916343689,-1.0,0.0,0.6930614709854126,DQN_Entropy,0.001,0.95,cartpole,dense
9,29,45.0,45,0.9371322989463806,-1.0,0.0,0.6930544376373291,DQN_Entropy,0.001,0.95,cartpole,dense
9,30,31.0,31,0.9231703877449036,-1.0,0.0,0.69305419921875,DQN_Entropy,0.001,0.95,cartpole,dense
9,31,20.0,20,0.9115875363349915,-1.0,0.0,0.6930534839630127,DQN_Entropy,0.001,0.95,cartpole,dense
