seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
2,1,1.0,59,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,2,1.0,23,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,3,1.0,19,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,4,1.0,22,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,5,1.0,12,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,6,1.0,33,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,7,1.0,33,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,8,1.0,16,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,9,1.0,26,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.95,cartpole,sparse
2,10,1.0,65,-0.00575076462700963,-1.0,0.0,0.6928749084472656,DQN_Entropy,0.01,0.95,cartpole,sparse
2,11,1.0,22,-0.008005806244909763,-1.0,0.0,0.6928904056549072,DQN_Entropy,0.01,0.95,cartpole,sparse
2,12,1.0,16,0.006979931145906448,-1.0,0.0,0.6928747296333313,DQN_Entropy,0.01,0.95,cartpole,sparse
2,13,1.0,42,-0.005002927966415882,-1.0,0.0,0.6928640604019165,DQN_Entropy,0.01,0.95,cartpole,sparse
2,14,1.0,14,-0.009027428925037384,-1.0,0.0,0.6928908824920654,DQN_Entropy,0.01,0.95,cartpole,sparse
2,15,1.0,47,-0.0050226557068526745,-1.0,0.0,0.6928797960281372,DQN_Entropy,0.01,0.95,cartpole,sparse
2,16,1.0,70,0.006156926043331623,-1.0,0.0,0.6928539276123047,DQN_Entropy,0.01,0.95,cartpole,sparse
2,17,1.0,41,-0.004356383811682463,-1.0,0.0,0.69293212890625,DQN_Entropy,0.01,0.95,cartpole,sparse
2,18,1.0,27,-0.005701628979295492,-1.0,0.0,0.6929187774658203,DQN_Entropy,0.01,0.95,cartpole,sparse
2,19,1.0,60,-0.004555543418973684,-1.0,0.0,0.6929337978363037,DQN_Entropy,0.01,0.95,cartpole,sparse
2,20,1.0,29,-0.004171005915850401,-1.0,0.0,0.6929499506950378,DQN_Entropy,0.01,0.95,cartpole,sparse
2,21,1.0,25,-0.008123504929244518,-1.0,0.0,0.6929686665534973,DQN_Entropy,0.01,0.95,cartpole,sparse
2,22,1.0,29,-0.008590327575802803,-1.0,0.0,0.6929627656936646,DQN_Entropy,0.01,0.95,cartpole,sparse
2,23,1.0,30,-0.002842692192643881,-1.0,0.0,0.6929563879966736,DQN_Entropy,0.01,0.95,cartpole,sparse
2,24,1.0,22,-0.009480129927396774,-1.0,0.0,0.6929649710655212,DQN_Entropy,0.01,0.95,cartpole,sparse
2,25,1.0,94,-0.008052081800997257,-1.0,0.0,0.6929547786712646,DQN_Entropy,0.01,0.95,cartpole,sparse
2,26,1.0,27,0.0011795945465564728,-1.0,0.0,0.6929696798324585,DQN_Entropy,0.01,0.95,cartpole,sparse
2,27,1.0,38,-0.006034483667463064,-1.0,0.0,0.6929761171340942,DQN_Entropy,0.01,0.95,cartpole,sparse
2,28,1.0,14,-0.011792471632361412,-1.0,0.0,0.6929618120193481,DQN_Entropy,0.01,0.95,cartpole,sparse
2,29,1.0,28,-0.01173210795968771,-1.0,0.0,0.6929787993431091,DQN_Entropy,0.01,0.95,cartpole,sparse
2,30,1.0,49,-0.008765109814703465,-1.0,0.0,0.692992627620697,DQN_Entropy,0.01,0.95,cartpole,sparse
2,31,1.0,26,-0.014456354081630707,-1.0,0.0,0.6929847002029419,DQN_Entropy,0.01,0.95,cartpole,sparse
2,32,1.0,31,-0.0038223331794142723,-1.0,0.0,0.6929886341094971,DQN_Entropy,0.01,0.95,cartpole,sparse
2,33,1.0,12,-0.007136093452572823,-1.0,0.0,0.6930010914802551,DQN_Entropy,0.01,0.95,cartpole,sparse
2,34,1.0,45,-0.01149110496044159,-1.0,0.0,0.6929864883422852,DQN_Entropy,0.01,0.95,cartpole,sparse
2,35,1.0,11,-0.01039204653352499,-1.0,0.0,0.6930143237113953,DQN_Entropy,0.01,0.95,cartpole,sparse
2,36,1.0,18,-0.005643109325319529,-1.0,0.0,0.6930031776428223,DQN_Entropy,0.01,0.95,cartpole,sparse
2,37,1.0,19,0.005818026605993509,-1.0,0.0,0.6929804086685181,DQN_Entropy,0.01,0.95,cartpole,sparse
2,38,1.0,38,-0.008305178955197334,-1.0,0.0,0.6929981708526611,DQN_Entropy,0.01,0.95,cartpole,sparse
2,39,1.0,27,-0.0069863987155258656,-1.0,0.0,0.6930044889450073,DQN_Entropy,0.01,0.95,cartpole,sparse
2,40,1.0,21,-0.010729851201176643,-1.0,0.0,0.6929994821548462,DQN_Entropy,0.01,0.95,cartpole,sparse
2,41,1.0,25,-0.01058724895119667,-1.0,0.0,0.6930041909217834,DQN_Entropy,0.01,0.95,cartpole,sparse
2,42,1.0,12,-0.0019861063919961452,-1.0,0.0,0.6929962635040283,DQN_Entropy,0.01,0.95,cartpole,sparse
2,43,1.0,17,-0.009305911138653755,-1.0,0.0,0.6930112242698669,DQN_Entropy,0.01,0.95,cartpole,sparse
2,44,1.0,26,-0.007977046072483063,-1.0,0.0,0.6930024027824402,DQN_Entropy,0.01,0.95,cartpole,sparse
2,45,1.0,29,-0.012832130305469036,-1.0,0.0,0.6930006742477417,DQN_Entropy,0.01,0.95,cartpole,sparse
