seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
3,1,-1.0,200,0.0,-1.0,0.0,0.0,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,2,-1.0,200,-0.044898636639118195,-1.0,0.0,1.098562240600586,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,3,-1.0,200,-0.0448789969086647,-1.0,0.0,1.0985609292984009,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,4,-1.0,200,-0.05170433968305588,-1.0,0.0,1.0985631942749023,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,5,-1.0,200,-0.05270325019955635,-1.0,0.0,1.098567008972168,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,6,-1.0,200,-0.04197949916124344,-1.0,0.0,1.0985691547393799,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,7,-1.0,200,-0.04783722758293152,-1.0,0.0,1.098567247390747,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,8,-1.0,200,-0.05173883214592934,-1.0,0.0,1.098570704460144,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,9,-1.0,200,-0.04875984042882919,-1.0,0.0,1.098573088645935,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,10,-1.0,200,-0.04785511642694473,-1.0,0.0,1.0985753536224365,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,11,-1.0,200,-0.04580678418278694,-1.0,0.0,1.098576545715332,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,12,-1.0,200,-0.04780673235654831,-1.0,0.0,1.0985801219940186,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,13,-1.0,200,-0.047828249633312225,-1.0,0.0,1.0985822677612305,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,14,-1.0,200,-0.0468340739607811,-1.0,0.0,1.0985827445983887,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,15,-1.0,200,-0.051808688789606094,-1.0,0.0,1.098585605621338,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,16,-1.0,200,-0.05078819394111633,-1.0,0.0,1.0985891819000244,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,17,-1.0,200,-0.05177948623895645,-1.0,0.0,1.0985912084579468,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,18,-1.0,200,-0.0498386025428772,-1.0,0.0,1.098594069480896,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,19,-1.0,200,-0.047905825078487396,-1.0,0.0,1.0985945463180542,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,20,-1.0,200,-0.0518273301422596,-1.0,0.0,1.098595142364502,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,21,-1.0,200,-0.0518641322851181,-1.0,0.0,1.0985966920852661,DQN_Entropy,0.01,0.99,mountaincar,sparse
3,22,-1.0,200,-0.04587388411164284,-1.0,0.0,1.0985980033874512,DQN_Entropy,0.01,0.99,mountaincar,sparse
