seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
3,1,-200.0,200,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.99,mountaincar,dense
3,2,-200.0,200,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.99,mountaincar,dense
3,3,-200.0,200,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.99,mountaincar,dense
3,4,-200.0,200,0.0,-1.0,0.0,0.0,DQN_Entropy,0.001,0.99,mountaincar,dense
3,5,-200.0,200,0.9151157736778259,-1.0,0.0,1.098560094833374,DQN_Entropy,0.001,0.99,mountaincar,dense
3,6,-200.0,200,0.9132750630378723,-1.0,0.0,1.0985572338104248,DQN_Entropy,0.001,0.99,mountaincar,dense
3,7,-200.0,200,0.9046179056167603,-1.0,0.0,1.0985548496246338,DQN_Entropy,0.001,0.99,mountaincar,dense
3,8,-200.0,200,0.8960228562355042,-1.0,0.0,1.09855318069458,DQN_Entropy,0.001,0.99,mountaincar,dense
3,9,-200.0,200,0.9116494655609131,-1.0,0.0,1.0985515117645264,DQN_Entropy,0.001,0.99,mountaincar,dense
3,10,-200.0,200,0.9020107984542847,-1.0,0.0,1.0985475778579712,DQN_Entropy,0.001,0.99,mountaincar,dense
3,11,-200.0,200,0.9101299047470093,-1.0,0.0,1.0985462665557861,DQN_Entropy,0.001,0.99,mountaincar,dense
3,12,-200.0,200,0.9024816155433655,-1.0,0.0,1.0985469818115234,DQN_Entropy,0.001,0.99,mountaincar,dense
3,13,-200.0,200,0.8936324119567871,-1.0,0.0,1.0985472202301025,DQN_Entropy,0.001,0.99,mountaincar,dense
3,14,-200.0,200,0.9103466272354126,-1.0,0.0,1.0985465049743652,DQN_Entropy,0.001,0.99,mountaincar,dense
3,15,-200.0,200,0.9021233320236206,-1.0,0.0,1.0985469818115234,DQN_Entropy,0.001,0.99,mountaincar,dense
3,16,-200.0,200,0.9093629121780396,-1.0,0.0,1.0985443592071533,DQN_Entropy,0.001,0.99,mountaincar,dense
3,17,-200.0,200,0.9025552272796631,-1.0,0.0,1.0985442399978638,DQN_Entropy,0.001,0.99,mountaincar,dense
3,18,-200.0,200,0.8933737277984619,-1.0,0.0,1.098544955253601,DQN_Entropy,0.001,0.99,mountaincar,dense
3,19,-200.0,200,0.9088096618652344,-1.0,0.0,1.0985422134399414,DQN_Entropy,0.001,0.99,mountaincar,dense
3,20,-200.0,200,0.9007177352905273,-1.0,0.0,1.0985405445098877,DQN_Entropy,0.001,0.99,mountaincar,dense
3,21,-200.0,200,0.9083045721054077,-1.0,0.0,1.0985400676727295,DQN_Entropy,0.001,0.99,mountaincar,dense
3,22,-200.0,200,0.9007243514060974,-1.0,0.0,1.0985374450683594,DQN_Entropy,0.001,0.99,mountaincar,dense
3,23,-200.0,200,0.8935990929603577,-1.0,0.0,1.0985366106033325,DQN_Entropy,0.001,0.99,mountaincar,dense
3,24,-200.0,200,0.9085094928741455,-1.0,0.0,1.0985379219055176,DQN_Entropy,0.001,0.99,mountaincar,dense
3,25,-200.0,200,0.8993480205535889,-1.0,0.0,1.0985360145568848,DQN_Entropy,0.001,0.99,mountaincar,dense
3,26,-200.0,200,0.9076269865036011,-1.0,0.0,1.0985347032546997,DQN_Entropy,0.001,0.99,mountaincar,dense
3,27,-200.0,200,0.9001346230506897,-1.0,0.0,1.098532795906067,DQN_Entropy,0.001,0.99,mountaincar,dense
3,28,-200.0,200,0.8924792408943176,-1.0,0.0,1.0985326766967773,DQN_Entropy,0.001,0.99,mountaincar,dense
3,29,-200.0,200,0.907193124294281,-1.0,0.0,1.0985310077667236,DQN_Entropy,0.001,0.99,mountaincar,dense
3,30,-200.0,200,0.8998345136642456,-1.0,0.0,1.098531723022461,DQN_Entropy,0.001,0.99,mountaincar,dense
3,31,-200.0,200,0.9062238931655884,-1.0,0.0,1.0985291004180908,DQN_Entropy,0.001,0.99,mountaincar,dense
3,32,-200.0,200,0.8967635631561279,-1.0,0.0,1.098526120185852,DQN_Entropy,0.001,0.99,mountaincar,dense
3,33,-200.0,200,0.889240026473999,-1.0,0.0,1.0985217094421387,DQN_Entropy,0.001,0.99,mountaincar,dense
3,34,-200.0,200,0.9027996063232422,-1.0,0.0,1.0985162258148193,DQN_Entropy,0.001,0.99,mountaincar,dense
3,35,-200.0,200,0.8936359882354736,-1.0,0.0,1.0985147953033447,DQN_Entropy,0.001,0.99,mountaincar,dense
3,36,-200.0,200,0.901894211769104,-1.0,0.0,1.0985133647918701,DQN_Entropy,0.001,0.99,mountaincar,dense
3,37,-200.0,200,0.8942516446113586,-1.0,0.0,1.0985125303268433,DQN_Entropy,0.001,0.99,mountaincar,dense
3,38,-200.0,200,0.8866454362869263,-1.0,0.0,1.098510980606079,DQN_Entropy,0.001,0.99,mountaincar,dense
3,39,-200.0,200,0.8985171318054199,-1.0,0.0,1.0985080003738403,DQN_Entropy,0.001,0.99,mountaincar,dense
3,40,-200.0,200,0.8938234448432922,-1.0,0.0,1.0985057353973389,DQN_Entropy,0.001,0.99,mountaincar,dense
3,41,-200.0,200,0.8986779451370239,-1.0,0.0,1.098503589630127,DQN_Entropy,0.001,0.99,mountaincar,dense
3,42,-200.0,200,0.8905535936355591,-1.0,0.0,1.0985006093978882,DQN_Entropy,0.001,0.99,mountaincar,dense
3,43,-200.0,200,0.8832055330276489,-1.0,0.0,1.0984973907470703,DQN_Entropy,0.001,0.99,mountaincar,dense
3,44,-200.0,200,0.8988439440727234,-1.0,0.0,1.0984984636306763,DQN_Entropy,0.001,0.99,mountaincar,dense
3,45,-200.0,200,0.8896040916442871,-1.0,0.0,1.098494529724121,DQN_Entropy,0.001,0.99,mountaincar,dense
