seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
6,1,-1.0,200,-0.21449421346187592,-1.0,0.0,1.0985299348831177,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,2,-1.0,200,-0.21157538890838623,-1.0,0.0,1.098533272743225,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,3,-1.0,200,-0.21460409462451935,-1.0,0.0,1.0985349416732788,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,4,-1.0,200,-0.21652156114578247,-1.0,0.0,1.0985372066497803,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,5,-1.0,200,-0.2145773470401764,-1.0,0.0,1.0985376834869385,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,6,-1.0,200,-0.21368741989135742,-1.0,0.0,1.0985397100448608,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,7,-1.0,200,-0.210849791765213,-1.0,0.0,1.0985409021377563,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,8,-1.0,200,-0.21468202769756317,-1.0,0.0,1.098542332649231,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,9,-1.0,200,-0.21747027337551117,-1.0,0.0,1.0985424518585205,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,10,-1.0,200,-0.21278659999370575,-1.0,0.0,1.0985438823699951,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,11,-1.0,200,-0.21567648649215698,-1.0,0.0,1.0985437631607056,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,12,-1.0,200,-0.21755351126194,-1.0,0.0,1.0985480546951294,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,13,-1.0,200,-0.21565577387809753,-1.0,0.0,1.098548173904419,DQN_Entropy,0.001,0.99,mountaincar,sparse
6,14,-1.0,200,-0.21274283528327942,-1.0,0.0,1.0985491275787354,DQN_Entropy,0.001,0.99,mountaincar,sparse
