seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
1,1,1.0,17,0.0,-1.0,0.004022920969873667,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,2,1.0,16,0.0,-1.0,0.008197782561182976,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,3,1.0,12,0.0,-1.0,0.013153688982129097,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,4,1.0,15,0.0,-1.0,0.002655601128935814,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,5,1.0,15,0.0,-1.0,0.0010618516243994236,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,6,1.0,21,0.0,-1.0,0.00635767076164484,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,7,1.0,12,0.0,-1.0,0.001441989210434258,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,8,1.0,41,0.06475482881069183,-1.0,0.004233847837895155,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,9,1.0,15,0.0520600825548172,-1.0,0.007595982868224382,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,10,1.0,18,0.059051159769296646,-1.0,0.003201133571565151,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,11,1.0,17,0.07353711128234863,-1.0,0.0036851821932941675,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,12,1.0,23,0.06214434280991554,-1.0,0.008423623628914356,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,13,1.0,18,0.0543736070394516,-1.0,0.010214648209512234,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,14,1.0,12,0.07150086760520935,-1.0,0.0073117646388709545,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,15,1.0,13,0.057840753346681595,-1.0,0.005338340997695923,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,16,1.0,42,0.04926329106092453,-1.0,0.003379410831257701,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,17,1.0,11,0.08331487327814102,-1.0,0.012649008072912693,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,18,1.0,24,0.06174779310822487,-1.0,0.00047840093611739576,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,19,1.0,11,0.0774054005742073,-1.0,0.003651533741503954,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,20,1.0,12,0.05597870424389839,-1.0,0.010945036076009274,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,21,1.0,15,0.06623520702123642,-1.0,0.003838227828964591,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,22,1.0,17,0.05331631004810333,-1.0,0.0009756555664353073,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,23,1.0,44,0.0431523323059082,-1.0,0.0007260525017045438,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,24,1.0,34,0.05557793006300926,-1.0,0.004747018683701754,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,25,1.0,23,0.0511002391576767,-1.0,0.0004923474625684321,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,26,1.0,51,0.048485636711120605,-1.0,0.0031836379785090685,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,27,1.0,25,0.0387081503868103,-1.0,0.011842533014714718,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,28,1.0,35,0.046821899712085724,-1.0,0.005424409173429012,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,29,1.0,26,0.038932494819164276,-1.0,0.0016710894415155053,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,30,1.0,17,0.06807287782430649,-1.0,0.001985698938369751,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,31,1.0,14,0.039008479565382004,-1.0,0.00469548162072897,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,32,1.0,10,0.05781862884759903,-1.0,0.01132887601852417,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,33,1.0,19,0.040429726243019104,-1.0,0.002735476940870285,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,34,1.0,24,0.07201781123876572,-1.0,0.006598701234906912,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,35,1.0,20,0.050886303186416626,-1.0,0.009109163656830788,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,36,1.0,15,0.06311202049255371,-1.0,0.007841936312615871,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,37,1.0,61,0.06217505410313606,-1.0,0.000985239166766405,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,38,1.0,34,0.05290060117840767,-1.0,0.000676824594847858,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,39,1.0,32,0.04006245359778404,-1.0,0.007527592591941357,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,40,1.0,29,0.04440876469016075,-1.0,0.004438837990164757,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,41,1.0,11,0.04695391654968262,-1.0,0.010011707432568073,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,42,1.0,14,0.025240188464522362,-1.0,0.0019209530437365174,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,43,1.0,20,0.05468341335654259,-1.0,0.0020123906433582306,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,44,1.0,32,0.04628506302833557,-1.0,0.002402110490947962,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,45,1.0,14,0.048922304064035416,-1.0,0.007754357066005468,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,46,1.0,30,0.03341306373476982,-1.0,0.0006702201790176332,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,47,1.0,14,0.0461721271276474,-1.0,0.0006546077784150839,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,48,1.0,13,0.043811436742544174,-1.0,0.005587100982666016,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,49,1.0,20,0.04559507966041565,-1.0,0.010240856558084488,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,50,1.0,23,0.054376378655433655,-1.0,0.0027486190665513277,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,51,1.0,12,0.050127916038036346,-1.0,0.006319793872535229,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,52,1.0,28,0.038914650678634644,-1.0,0.0035875109024345875,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,53,1.0,50,0.03786870092153549,-1.0,0.0017917220247909427,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,54,1.0,16,0.03144712746143341,-1.0,0.0019084399100393057,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,55,1.0,35,0.04599196836352348,-1.0,0.002142772078514099,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,56,1.0,31,0.056309979408979416,-1.0,0.0007190921460278332,0.0,DQN_RND,0.001,0.95,cartpole,sparse
1,57,1.0,19,0.07294151932001114,-1.0,0.003808393143117428,0.0,DQN_RND,0.001,0.95,cartpole,sparse
