seed,episode,reward,episode_length,loss,eval_success_rate,intrinsic_reward,policy_entropy,algorithm,learning_rate,gamma,env_name,reward_type
2,1,-1.0,200,0.006909550167620182,-1.0,0.00044709318899549544,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,2,-1.0,200,0.002761059207841754,-1.0,0.0004465033707674593,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,3,-1.0,200,0.0047872234135866165,-1.0,0.0004930805880576372,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,4,-1.0,200,0.004532494582235813,-1.0,0.0004340212617535144,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,5,-1.0,200,0.00435134582221508,-1.0,0.0004617177473846823,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,6,-1.0,200,0.004329838789999485,-1.0,0.0004749356594402343,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,7,-1.0,200,0.008270476944744587,-1.0,0.000518716115038842,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,8,-1.0,200,0.0023882482200860977,-1.0,0.00043905273196287453,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,9,-1.0,200,0.004349801689386368,-1.0,0.0004381552862469107,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,10,-1.0,200,0.012403828091919422,-1.0,0.0004751752712763846,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,11,-1.0,200,0.004236382897943258,-1.0,0.00047562597319483757,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,12,-1.0,200,0.0002623082837089896,-1.0,0.0004588989831972867,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,13,-1.0,200,0.010073555633425713,-1.0,0.0004589151940308511,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,14,-1.0,200,0.008302675560116768,-1.0,0.0004742090532090515,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,15,-1.0,200,0.004202868323773146,-1.0,0.0004493040032684803,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,16,-1.0,200,0.008059149608016014,-1.0,0.0004753016692120582,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,17,-1.0,200,0.006093734875321388,-1.0,0.00045667606173083186,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,18,-1.0,200,0.006085381377488375,-1.0,0.0004420996701810509,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,19,-1.0,200,0.004105321131646633,-1.0,0.0004332764365244657,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,20,-1.0,200,0.004049641080200672,-1.0,0.0004281265428289771,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,21,-1.0,200,0.002093386370688677,-1.0,0.0004925834364257753,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,22,-1.0,200,0.010042023845016956,-1.0,0.000439677678514272,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,23,-1.0,200,0.004011977463960648,-1.0,0.00041213465738110244,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,24,-1.0,200,0.00209692376665771,-1.0,0.0004470068961381912,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,25,-1.0,200,0.008017139509320259,-1.0,0.0004731659428216517,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,26,-1.0,200,0.002044449560344219,-1.0,0.0004232322971802205,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,27,-1.0,200,0.007993470877408981,-1.0,0.0004419316246639937,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,28,-1.0,200,0.006087683606892824,-1.0,0.0004587456351146102,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,29,-1.0,200,0.004072850104421377,-1.0,0.00044458353659138083,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,30,-1.0,200,0.009914933703839779,-1.0,0.0004504410899244249,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,31,-1.0,200,0.006024907808750868,-1.0,0.0004223788564559072,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,32,-1.0,200,0.004026313312351704,-1.0,0.0004375058051664382,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,33,-1.0,200,0.007973944768309593,-1.0,0.00042795517947524786,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,34,-1.0,200,0.00993485376238823,-1.0,0.0004198345122858882,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,35,-1.0,200,0.007954388856887817,-1.0,0.0005032876506447792,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,36,-1.0,200,0.003985193558037281,-1.0,0.0004365509666968137,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,37,-1.0,200,0.003968050237745047,-1.0,0.0004948296118527651,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,38,-1.0,200,0.0059836129657924175,-1.0,0.0004346938803792,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,39,-1.0,200,0.007944568991661072,-1.0,0.00043236708734184504,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,40,-1.0,200,0.0019857410807162523,-1.0,0.00043369855848141015,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
2,41,-1.0,200,0.007926826365292072,-1.0,0.00042165128979831934,0.0,DQN_RND,0.01,0.95,mountaincar,sparse
